24/02/2015,1998,0,0,0,FALSE,S95,TRUE,FALSE,TRUE,7/05/2015,TRUE
25/02/2015,1996,0,0,0,TRUE,S95,TRUE,FALSE,TRUE,16/06/2015,TRUE
25/02/2015,1997,0,0,0,TRUE,S95,TRUE,FALSE,TRUE,19/06/2015,TRUE
23/02/2015,2002,0,0,0,TRUE,S95,FALSE,FALSE,TRUE,29/05/2015,TRUE
3/03/2015,2003,0,0,1,TRUE,S95,FALSE,FALSE,TRUE,28/05/2015,TRUE
3/11/2015,1989,2,1,0,FALSE,88,TRUE,FALSE,FALSE,,TRUE
3/11/2015,2004,4,1,2,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
18/03/2015,2004,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
16/03/2015,2003,0,0,2,TRUE,S95,TRUE,FALSE,TRUE,19/04/2016,TRUE
23/04/2013,1988,0,0,0,TRUE,88,TRUE,TRUE,FALSE,,TRUE
23/04/2015,2001,2,2,1,TRUE,S95,TRUE,FALSE,FALSE,,TRUE
27/05/2015,1999,0,0,0,FALSE,S95,FALSE,FALSE,TRUE,15/12/2015,TRUE
29/05/2015,2000,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
29/05/2015,2002,4,0,1,FALSE,S95,FALSE,FALSE,FALSE,,TRUE
14/08/2015,1989,1,1,0,TRUE,88,TRUE,TRUE,FALSE,,TRUE
25/08/2015,2005,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,18/04/2016,TRUE
8/09/2015,2004,0,0,0,TRUE,1995,FALSE,FALSE,FALSE,,TRUE
9/08/2015,2002,0,0,0,TRUE,S95,FALSE,FALSE,TRUE,30/06/2016,TRUE
29/09/2015,2003,2,0,1,FALSE,S95,FALSE,FALSE,TRUE,8/04/2016,TRUE
15/10/2015,2005,2,0,1,TRUE,1995,FALSE,FALSE,FALSE,,TRUE
15/10/2015,2005,3,0,1,TRUE,1995,FALSE,FALSE,FALSE,,TRUE
15/10/2015,1994,0,0,0,TRUE,S95,FALSE,FALSE,TRUE,18/05/2016,TRUE
24/11/2015,2003,2,0,0,TRUE,S95,FALSE,FALSE,TRUE,13/05/2016,TRUE
24/11/2015,2002,0,0,0,TRUE,S95,FALSE,FALSE,TRUE,22/04/2016,TRUE
24/11/2015,2000,0,0,2,TRUE,S95,FALSE,FALSE,TRUE,22/04/2016,TRUE
24/11/2015,1994,0,0,4,FALSE,88,FALSE,FALSE,FALSE,,TRUE
